Department,Job Role,Performance Score,KPI Score,Attendance (%),Peer Rating,Task Completion (%),Work Hours Logged,Manager Feedback,Training Hours,Promotion Eligibility,Attrition
0,1,53,75.06,82.37,3.4,98.06,52,3.7,1,0,1
1,11,54,81.92,97.5,3.0,91.57,47,4.6,13,0,0
4,0,67,88.44,95.76,3.4,98.48,48,3.9,25,0,0
2,14,68,65.32,90.53,4.8,87.98,46,3.2,22,0,0
4,13,73,79.79,86.45,3.4,87.6,44,3.2,17,0,0
2,5,88,60.3,93.21,4.6,74.71,36,4.9,26,1,0
2,6,81,91.23,87.12,4.9,88.55,38,4.5,29,0,0
1,11,90,73.45,88.29,4.1,70.73,42,3.9,22,0,0
2,6,84,77.02,99.24,4.5,95.07,51,4.4,11,0,0
1,11,77,89.8,86.58,4.0,73.61,37,4.7,30,0,0
0,2,95,62.2,87.68,4.1,83.29,36,3.6,3,0,0
1,11,88,91.07,86.27,4.5,77.1,54,4.8,21,1,0
1,11,85,71.45,89.42,4.7,82.93,48,4.4,19,0,0
0,2,94,62.74,81.13,3.9,98.99,52,3.6,30,0,0
2,5,94,67.43,75.38,5.0,77.8,36,4.2,30,1,0
2,6,78,81.74,75.54,4.9,80.82,47,4.0,25,0,0
2,6,87,77.99,75.37,3.5,80.99,38,4.5,1,1,0
0,1,80,63.45,86.74,4.1,71.89,40,4.9,9,0,0
2,14,62,66.28,98.93,4.7,86.62,40,3.7,23,0,0
4,13,84,72.67,81.11,4.6,81.7,51,3.7,19,0,0
0,2,89,61.6,94.31,3.4,70.67,36,4.8,3,1,0
3,10,61,66.05,88.02,3.4,91.18,50,3.3,0,0,0
3,4,86,67.22,81.86,3.1,71.2,42,4.7,13,1,0
2,6,88,63.95,78.29,4.2,74.97,54,4.9,13,1,0
3,4,98,64.44,94.95,3.3,95.23,50,3.6,5,0,0
0,1,82,65.64,81.69,4.8,80.04,45,3.6,18,0,0
1,11,87,63.25,98.24,4.2,99.21,41,4.3,23,1,0
1,9,93,61.04,78.79,3.4,82.5,35,4.1,18,1,0
2,14,96,70.36,76.92,3.6,83.87,45,4.8,21,1,0
3,10,51,79.14,80.64,4.7,82.3,51,3.1,27,0,1
2,6,86,94.03,99.8,3.9,84.52,45,3.4,5,0,0
1,9,88,66.5,78.02,3.8,85.4,50,3.7,23,0,0
0,8,61,88.68,79.11,4.9,97.0,40,4.8,17,0,1
3,4,50,63.02,90.92,4.1,87.66,48,4.9,15,0,0
4,13,92,73.8,97.2,3.8,82.64,40,4.8,3,1,0
0,2,72,91.22,92.52,4.6,71.74,35,5.0,12,0,0
2,5,67,67.47,83.66,3.6,73.29,50,4.8,21,0,1
0,8,70,64.54,82.6,4.7,72.26,47,4.9,30,0,0
0,8,73,80.07,84.7,4.2,92.34,35,4.7,11,0,0
0,2,76,66.19,85.63,3.1,91.58,46,4.9,9,0,0
1,7,87,77.02,79.34,4.5,95.46,47,3.8,13,0,0
2,14,59,74.96,88.93,3.3,81.2,50,4.3,20,0,0
3,4,67,62.85,94.79,4.1,82.43,48,3.7,5,0,0
2,5,57,73.74,97.8,3.9,73.87,49,3.7,11,0,0
0,8,72,84.49,91.24,3.7,86.21,46,4.2,27,0,0
4,3,55,90.57,99.09,4.1,77.91,47,4.0,22,0,0
4,3,57,82.53,90.53,3.7,76.21,37,4.6,25,0,0
4,3,95,92.1,82.48,4.6,95.6,37,4.4,14,1,0
0,8,55,64.62,91.66,3.4,78.24,44,4.4,30,0,0
2,14,79,92.06,83.47,4.9,96.88,47,5.0,12,0,0
4,3,97,66.15,77.45,4.7,99.59,53,4.7,16,1,0
0,1,71,67.14,76.39,4.6,95.29,50,4.0,4,0,0
3,10,64,67.88,78.33,4.8,97.84,42,3.5,28,0,1
3,4,52,82.98,75.82,4.5,89.13,45,3.4,25,0,1
3,12,76,63.62,80.17,4.5,83.32,45,4.4,27,0,0
2,6,81,72.43,86.41,3.7,80.55,36,4.5,29,0,0
4,0,50,73.44,86.2,3.4,77.63,35,3.3,8,0,0
1,7,51,60.1,85.23,3.7,89.67,36,4.3,17,0,0
1,7,57,75.07,79.7,4.2,88.75,41,4.0,5,0,1
3,10,63,87.08,81.5,3.0,74.99,49,3.6,0,0,1
3,10,57,78.18,96.46,5.0,84.8,48,3.5,7,0,0
2,6,82,64.33,78.27,4.1,76.74,42,3.4,0,0,0
3,12,88,73.89,94.64,4.2,92.41,35,3.1,16,0,0
2,14,86,61.25,95.97,3.4,99.37,44,3.1,15,0,0
4,13,97,79.6,97.87,4.7,78.05,40,4.6,15,1,0
4,13,54,84.88,91.47,3.5,75.71,45,4.7,7,0,0
3,4,73,74.81,87.87,3.1,86.12,55,4.0,21,0,0
1,11,95,81.95,89.39,4.2,98.2,52,3.4,6,0,0
2,5,77,74.94,80.4,4.8,96.93,39,3.3,12,0,0
0,1,68,67.03,91.02,3.9,74.97,48,4.7,29,0,0
0,2,81,88.38,99.75,3.3,89.16,44,3.0,1,0,0
4,13,62,91.17,76.4,3.4,73.62,40,3.7,10,0,1
3,4,71,86.79,99.65,4.5,94.31,53,3.4,26,0,0
0,1,92,83.42,93.41,4.0,90.91,35,3.3,22,0,0
2,6,97,71.65,76.72,4.7,90.25,48,4.5,3,1,0
4,3,74,82.82,76.4,4.3,85.35,43,3.4,12,0,0
0,1,72,84.73,87.83,4.5,89.58,51,3.9,18,0,0
3,4,82,70.26,95.76,3.6,75.86,45,3.8,29,0,0
1,11,75,65.27,75.57,3.2,85.35,41,3.0,27,0,0
0,2,78,67.68,92.36,4.4,78.97,55,4.5,20,0,0
2,6,94,90.48,97.78,4.3,86.4,35,3.3,27,0,0
0,8,89,70.95,93.83,4.9,86.93,52,4.4,20,1,0
1,9,82,71.89,95.37,3.7,90.17,49,4.4,12,0,0
2,5,82,85.65,99.89,4.2,99.0,41,4.6,8,0,0
4,0,61,80.52,92.15,4.5,89.08,36,3.2,29,0,0
2,6,100,72.38,84.41,4.7,98.06,51,4.4,28,1,0
3,10,95,92.43,94.77,3.2,73.36,39,4.0,22,0,0
3,12,58,91.59,87.19,3.8,75.97,54,3.8,17,0,0
0,2,93,83.89,82.82,4.2,96.99,47,4.1,30,1,0
0,8,82,73.25,79.11,4.3,81.89,43,3.4,6,0,0
3,4,80,82.12,92.36,3.3,78.28,40,3.2,19,0,0
3,12,83,92.48,82.71,4.5,93.21,37,4.4,23,0,0
4,3,56,87.41,94.26,3.5,99.0,51,4.9,7,0,0
1,9,84,68.66,86.9,4.6,96.8,44,4.7,2,0,0
1,7,74,64.98,82.92,3.9,75.34,38,3.7,11,0,0
0,8,75,84.48,83.94,4.0,95.9,55,4.5,0,0,0
3,4,65,66.65,82.45,3.5,83.83,51,3.8,2,0,1
0,1,92,80.84,98.24,4.7,94.1,47,3.4,20,0,0
4,13,64,73.46,99.56,3.4,71.88,35,4.6,27,0,0
3,4,97,76.86,94.55,3.3,70.31,50,3.7,27,0,0
4,13,86,76.77,99.84,4.4,87.58,51,3.8,18,0,0
1,7,65,62.02,97.94,4.6,91.09,50,3.6,12,0,0
2,6,69,62.07,93.02,4.9,74.01,39,4.4,22,0,0
0,2,82,81.67,77.09,4.5,97.9,46,4.3,24,0,0
2,14,63,89.69,92.23,4.7,76.35,36,3.1,5,0,0
4,0,58,89.62,85.13,4.9,94.41,40,4.0,0,0,0
2,6,74,60.8,86.19,4.8,85.6,35,4.3,24,0,0
2,14,50,82.71,95.13,3.9,75.03,42,3.1,6,0,0
2,5,69,74.05,84.18,4.8,86.31,41,3.9,14,0,1
0,2,80,65.06,90.35,4.5,99.44,54,5.0,27,0,0
1,9,62,71.94,77.61,4.9,82.73,54,3.1,22,0,1
2,5,85,93.1,93.9,4.8,87.4,39,3.2,5,0,0
4,3,78,79.97,97.09,3.1,84.82,42,3.2,15,0,0
2,6,97,83.21,90.21,4.1,82.82,39,3.6,7,0,0
4,13,94,61.17,96.36,3.9,84.59,42,3.0,8,0,0
0,2,66,83.48,79.72,4.8,71.71,48,4.3,18,0,1
2,5,73,69.28,79.51,3.2,91.02,35,4.8,11,0,0
2,5,54,90.19,82.97,4.9,83.52,37,4.7,17,0,1
3,10,56,68.15,89.51,4.3,77.32,47,4.6,11,0,0
2,6,88,89.68,80.68,4.2,72.86,41,4.0,2,0,0
4,3,96,85.46,94.64,3.7,94.08,49,3.8,1,0,0
1,9,69,88.01,79.53,4.5,91.7,53,3.4,20,0,1
3,10,55,61.0,99.91,4.6,75.56,48,4.4,12,0,0
3,12,51,71.53,95.64,3.8,72.76,41,3.9,9,0,0
3,10,92,85.66,79.38,4.0,91.14,46,3.6,19,0,0
3,4,99,73.95,82.73,4.1,93.3,45,4.4,30,1,0
4,3,78,73.14,89.4,5.0,72.73,53,3.9,20,0,0
4,3,68,61.46,88.26,4.5,75.21,49,4.5,20,0,0
0,2,72,82.43,86.41,3.4,82.03,44,4.8,13,0,0
4,3,93,80.89,81.52,3.3,88.87,52,3.8,17,0,0
3,10,62,65.17,93.08,3.9,82.88,48,4.7,6,0,0
3,12,73,60.48,99.82,4.8,92.1,46,3.6,26,0,0
0,1,96,93.48,75.65,4.9,79.08,38,4.5,9,1,0
3,4,59,87.25,81.56,3.5,85.22,48,3.5,26,0,1
4,0,66,92.26,99.67,4.3,89.0,43,3.8,5,0,0
2,14,63,76.21,89.59,3.0,92.27,51,4.9,15,0,0
2,5,61,64.04,79.01,4.8,92.85,55,3.6,27,0,1
0,1,68,66.47,96.84,3.1,93.7,37,4.3,21,0,0
3,10,71,92.64,79.77,4.1,78.37,45,4.9,12,0,0
1,7,97,65.14,76.47,4.9,72.44,44,4.1,24,1,0
0,1,85,87.72,87.93,4.3,91.14,50,4.5,0,0,0
4,0,56,91.95,77.51,3.3,75.56,37,4.6,21,0,1
0,2,51,82.84,89.79,4.3,76.83,40,4.1,12,0,0
1,9,59,70.44,88.99,3.8,97.42,49,3.1,13,0,0
4,13,79,81.83,80.12,3.1,99.61,41,3.4,5,0,0
3,4,55,77.72,88.43,4.4,83.63,38,3.8,4,0,0
1,9,56,74.67,76.66,3.1,92.95,51,4.5,6,0,1
3,4,66,63.75,98.89,3.3,92.95,40,3.5,28,0,0
2,14,81,80.58,83.56,3.6,77.29,54,4.6,20,0,0
1,7,64,73.39,84.63,4.2,89.47,44,4.5,21,0,1
4,3,87,92.46,93.54,3.4,79.73,41,4.7,28,1,0
2,6,92,86.24,76.66,4.8,79.7,55,3.5,11,0,0
4,13,58,94.99,99.09,3.5,85.58,44,4.0,25,0,0
4,3,60,74.17,95.69,3.1,77.25,35,4.1,21,0,0
3,12,50,85.45,96.03,4.0,92.06,37,3.3,1,0,0
3,4,68,62.57,81.28,4.0,79.97,40,3.4,5,0,1
1,9,64,79.49,97.49,4.6,81.0,44,3.6,2,0,0
3,4,53,87.12,88.02,4.6,98.95,38,3.2,26,0,0
0,8,76,80.11,91.63,3.6,95.74,46,3.8,3,0,0
0,8,80,76.13,86.34,4.4,79.46,54,3.1,7,0,0
1,9,79,61.37,82.4,4.7,96.87,50,3.6,8,0,0
4,13,71,61.56,96.52,4.5,98.67,43,3.4,3,0,0
1,11,80,88.43,91.56,3.5,72.21,51,3.5,18,0,0
4,13,99,90.84,98.9,5.0,84.75,52,4.1,19,1,0
4,0,59,70.77,96.19,3.9,86.54,50,3.0,22,0,0
4,13,62,88.43,76.64,4.4,86.07,40,4.2,10,0,1
2,14,62,91.63,92.08,3.7,84.15,45,4.4,17,0,0
4,0,58,79.87,92.64,4.5,75.94,54,3.4,7,0,0
1,11,95,70.47,81.41,3.4,78.27,36,3.5,28,0,0
0,8,63,88.41,94.44,4.4,82.85,45,4.4,0,0,0
3,10,79,89.14,85.18,4.9,73.88,36,3.0,2,0,0
2,5,69,70.93,98.84,3.8,96.23,44,4.2,9,0,0
1,9,55,83.07,83.26,4.5,75.92,55,5.0,28,0,1
2,14,66,80.41,98.32,4.6,89.22,52,3.2,5,0,0
3,10,55,82.72,81.21,4.5,95.34,43,3.8,4,0,1
2,5,51,81.35,82.69,4.3,76.95,47,4.6,5,0,1
3,4,76,75.33,77.18,3.9,83.79,50,3.8,10,0,0
2,5,58,89.27,81.54,4.5,98.01,37,3.1,13,0,1
4,0,91,69.14,87.89,3.8,88.58,53,3.9,25,0,0
2,14,72,67.13,76.85,4.6,93.58,37,3.2,21,0,0
0,8,92,83.87,94.54,4.0,92.93,35,4.6,25,1,0
4,13,96,62.39,76.2,3.5,72.24,40,4.8,15,1,0
2,5,88,66.58,78.86,3.1,89.1,38,4.7,6,1,0
0,8,75,62.55,81.15,3.1,70.64,53,4.2,1,0,0
0,1,63,62.32,80.88,3.1,88.74,50,4.5,29,0,1
4,13,65,86.84,78.45,4.2,86.9,46,3.5,10,0,1
3,12,62,86.86,86.53,4.1,97.33,46,4.9,0,0,0
3,12,90,70.04,76.39,3.9,75.33,37,4.1,9,1,0
1,9,52,94.01,88.47,3.3,80.48,47,3.8,13,0,0
4,0,78,62.95,79.62,4.9,84.39,43,3.7,27,0,0
4,13,80,60.62,79.71,4.3,83.08,36,3.8,21,0,0
3,4,98,61.93,75.75,3.7,73.59,37,3.8,20,0,0
4,0,67,73.56,87.41,3.4,83.74,55,4.3,10,0,0
4,13,80,76.85,98.94,4.3,93.5,45,4.8,26,0,0
0,1,80,73.07,98.99,3.6,79.75,39,4.2,22,0,0
4,3,95,91.57,99.9,3.2,98.03,44,3.9,22,0,0
1,9,87,80.77,91.48,4.4,91.9,39,3.7,0,0,0
3,4,86,64.12,86.85,4.3,80.67,42,4.9,12,1,0
2,6,79,89.21,94.8,4.2,79.29,51,4.5,14,0,0
3,10,64,85.06,88.6,4.1,81.81,38,5.0,4,0,0
3,4,70,80.64,86.24,3.9,78.1,45,4.8,13,0,0
4,0,59,72.5,80.69,4.6,74.64,45,3.3,21,0,1
0,2,65,61.74,93.01,3.5,70.6,55,4.1,23,0,0
1,7,51,66.78,76.07,3.3,96.74,45,4.9,11,0,1
3,10,56,69.99,83.24,4.7,87.37,41,3.6,15,0,1
0,2,99,70.44,96.99,4.7,94.95,36,3.3,22,0,0
1,9,92,89.27,96.6,3.1,98.36,40,4.7,3,1,0
0,8,55,81.78,87.17,3.3,71.38,38,3.5,12,0,0
0,2,94,75.79,85.01,4.5,74.44,46,3.5,18,0,0
4,3,53,76.01,97.84,3.1,88.01,51,4.7,28,0,0
2,5,65,60.69,94.65,3.0,91.8,43,3.5,18,0,0
2,6,57,70.64,85.62,3.6,73.93,42,3.6,4,0,0
0,1,53,77.12,76.64,3.5,97.64,37,4.4,15,0,1
1,7,53,79.23,98.62,3.8,81.39,44,3.2,30,0,0
0,8,58,71.98,79.6,3.5,76.95,36,3.6,6,0,1
4,0,85,64.99,80.11,4.9,73.61,42,4.1,24,0,0
3,12,70,94.43,93.67,4.6,83.27,38,3.6,2,0,0
2,6,70,87.26,99.18,4.2,88.71,38,3.5,14,0,0
3,4,62,87.73,75.64,4.2,95.44,47,4.1,1,0,1
1,11,53,89.26,91.59,4.6,72.87,35,4.3,13,0,0
3,10,81,94.98,89.72,4.3,80.63,41,4.0,24,0,0
1,11,96,81.56,92.17,4.8,92.74,40,4.9,17,1,0
1,11,69,71.91,90.09,3.3,76.49,47,3.7,5,0,0
2,14,66,76.72,88.43,4.0,86.11,41,4.6,6,0,0
1,9,89,64.69,84.51,3.0,94.85,37,3.4,10,0,0
0,2,67,71.85,98.15,4.5,92.87,39,4.8,15,0,0
4,0,82,75.65,83.76,4.5,94.95,35,3.2,28,0,0
0,8,87,72.05,91.58,5.0,80.35,55,3.9,26,0,0
2,6,66,94.01,94.25,4.4,75.91,52,3.1,17,0,0
3,4,80,72.35,85.73,4.2,99.47,46,3.1,4,0,0
1,11,66,71.87,76.4,4.3,87.99,36,3.4,7,0,1
3,12,98,67.65,81.62,3.5,76.33,49,4.9,12,1,0
1,7,56,71.1,80.48,4.5,77.66,53,3.2,19,0,1
2,5,83,77.4,86.09,3.9,84.31,49,4.8,2,0,0
1,9,95,73.62,81.12,3.8,86.89,36,4.5,30,1,0
3,4,56,75.49,96.85,4.0,80.04,44,3.5,11,0,0
3,10,53,94.03,90.92,5.0,98.71,36,3.0,6,0,0
1,9,57,73.04,86.14,4.3,93.1,42,4.7,18,0,0
1,9,56,93.25,87.21,4.5,80.48,39,4.4,1,0,0
3,4,84,92.99,83.05,4.5,76.37,39,5.0,8,0,0
0,8,92,94.51,78.42,3.5,90.0,36,3.7,6,0,0
0,1,86,85.0,94.63,3.8,94.7,38,3.8,14,0,0
3,10,69,91.03,90.26,3.6,84.23,51,3.0,13,0,0
4,0,78,94.43,82.67,3.2,73.3,42,3.4,17,0,0
1,9,51,88.61,85.15,4.5,73.2,39,4.3,12,0,0
0,2,55,90.61,80.08,4.7,97.45,54,3.2,16,0,1
3,12,60,63.05,85.97,4.5,84.94,44,4.2,30,0,0
0,1,81,83.33,78.66,4.3,91.83,51,5.0,7,0,0
4,3,66,63.78,99.71,3.3,81.08,45,4.5,7,0,0
0,2,87,67.49,92.71,3.3,73.17,43,4.4,29,1,0
3,12,63,89.66,78.05,4.5,77.49,35,3.5,2,0,1
2,5,50,68.15,88.6,4.6,98.15,53,4.2,23,0,0
3,4,52,64.67,88.17,5.0,81.16,43,4.3,24,0,0
3,4,69,78.31,91.99,3.6,73.42,39,4.9,3,0,0
1,7,91,87.99,82.15,4.2,71.9,54,3.1,18,0,0
1,9,80,61.56,96.99,5.0,85.23,54,4.0,12,0,0
2,6,92,60.71,89.34,3.4,92.13,52,3.2,15,0,0
4,13,72,89.08,91.16,4.3,80.46,48,3.3,25,0,0
4,3,94,84.71,94.64,3.8,70.92,47,3.6,2,0,0
4,0,90,67.68,85.5,3.4,82.46,47,4.0,15,0,0
2,6,73,80.77,78.75,3.9,90.24,50,3.3,21,0,0
0,2,98,73.2,83.32,5.0,95.17,35,4.3,30,1,0
3,12,99,89.32,95.5,4.5,83.3,35,3.9,22,0,0
0,8,95,84.87,82.68,4.6,79.94,47,3.0,4,0,0
0,8,58,87.43,98.4,3.4,98.45,45,3.8,1,0,0
1,7,86,71.51,94.62,4.9,71.6,38,4.3,1,1,0
1,11,58,79.1,88.24,3.2,98.34,50,4.6,2,0,0
2,14,70,92.45,82.8,3.6,96.89,35,3.3,2,0,0
4,13,50,79.27,88.51,3.5,92.41,41,3.0,24,0,0
3,12,61,75.59,97.04,4.6,86.72,42,4.2,16,0,0
3,12,96,63.88,97.25,5.0,83.76,37,4.8,28,1,0
0,8,86,91.89,76.95,3.9,90.91,48,3.5,22,0,0
2,5,69,91.56,96.85,4.5,96.63,55,4.4,2,0,0
2,5,70,77.88,95.6,3.0,82.62,35,3.2,4,0,0
2,6,63,60.1,79.03,4.9,93.83,35,4.8,15,0,1
3,12,56,91.92,89.45,4.6,99.73,35,3.5,30,0,0
1,9,69,81.67,87.32,3.5,98.73,48,4.9,18,0,0
0,2,66,85.17,89.33,4.8,90.94,37,4.7,27,0,0
0,2,83,74.77,75.93,3.5,95.24,36,4.5,25,0,0
4,0,76,82.02,94.29,3.5,80.89,48,4.4,7,0,0
3,10,82,68.51,82.81,3.8,79.06,48,3.6,17,0,0
2,6,68,60.94,95.48,3.4,75.62,44,4.5,2,0,0
3,12,64,94.61,78.68,3.8,71.6,42,4.3,2,0,1
0,8,80,78.34,90.57,4.8,82.35,46,4.0,20,0,0
2,5,91,81.39,86.56,3.6,84.25,41,3.7,17,0,0
0,8,76,65.26,90.84,3.0,96.19,49,3.6,14,0,0
4,0,80,86.98,95.65,4.8,87.75,51,3.7,1,0,0
1,11,56,64.37,89.83,4.9,91.32,51,4.6,9,0,0
1,11,69,61.33,87.38,3.2,87.12,51,4.6,18,0,0
2,14,56,74.58,86.08,3.6,72.67,46,3.5,20,0,0
0,1,67,81.22,96.34,3.6,96.39,37,3.7,18,0,0
2,6,65,64.88,78.56,3.1,82.83,40,3.7,9,0,1
3,4,76,76.99,98.99,4.1,85.55,44,4.0,4,0,0
3,10,73,64.06,82.71,4.6,85.82,37,4.3,8,0,0
2,5,58,71.66,75.07,4.3,83.99,49,3.8,1,0,1
1,11,96,66.94,97.43,3.3,78.37,37,4.6,19,1,0
3,4,82,94.57,93.26,3.2,80.0,47,4.4,11,0,0
3,12,52,94.49,85.87,3.0,77.39,53,4.2,23,0,0
1,9,90,94.78,80.47,3.8,74.62,47,3.1,4,0,0
1,11,65,81.24,92.76,4.6,71.76,37,4.2,0,0,0
4,3,56,80.47,81.76,4.3,87.03,43,4.0,13,0,1
3,12,55,69.5,80.5,4.7,71.15,50,4.4,24,0,1
1,11,56,74.92,91.4,4.9,99.63,54,4.0,28,0,0
1,7,61,74.89,76.23,3.3,71.65,43,3.3,28,0,1
1,9,80,91.96,90.4,5.0,72.73,51,3.8,1,0,0
1,7,97,83.26,86.44,3.7,85.51,42,4.8,0,1,0
1,9,99,71.98,89.56,3.3,87.55,55,5.0,27,1,0
0,8,97,66.8,94.77,4.4,71.23,38,4.1,7,1,0
1,9,81,83.51,85.33,4.0,75.53,40,3.5,3,0,0
2,14,59,84.15,92.14,4.6,83.1,41,3.2,13,0,0
2,6,58,86.34,92.69,3.4,75.4,54,4.0,11,0,0
0,8,57,91.47,95.27,4.3,80.35,55,4.4,16,0,0
0,2,63,74.51,92.72,4.2,71.53,39,4.7,27,0,0
3,10,90,80.89,76.67,3.9,80.05,45,4.9,28,1,0
1,7,58,73.92,91.6,3.8,76.32,48,4.4,9,0,0
4,3,99,80.76,94.88,3.2,80.5,46,4.1,22,1,0
3,10,72,68.68,77.28,4.2,80.95,48,3.6,23,0,0
1,7,92,88.48,77.87,4.1,75.48,48,4.5,16,1,0
4,3,61,87.06,77.11,4.0,74.86,39,3.2,15,0,1
4,13,51,85.34,91.65,3.8,72.27,46,3.0,24,0,0
0,8,79,61.62,91.04,5.0,76.94,46,3.4,19,0,0
4,3,61,61.28,98.94,3.0,81.52,49,4.7,6,0,0
2,14,89,60.89,80.62,4.8,71.95,50,5.0,10,1,0
0,1,74,75.0,75.11,3.9,72.34,46,3.4,2,0,0
3,10,70,86.54,81.59,4.6,91.87,46,4.6,1,0,0
3,10,55,60.56,92.47,3.6,81.18,46,4.8,29,0,0
3,12,64,71.58,85.02,4.7,84.84,37,5.0,17,0,0
2,5,78,78.06,96.27,4.1,97.91,51,4.6,7,0,0
4,0,56,90.41,91.51,3.9,87.93,45,4.9,16,0,0
1,7,91,67.76,80.87,3.4,86.74,45,3.8,8,0,0
3,10,73,78.26,96.89,3.2,86.9,37,4.6,24,0,0
3,4,57,84.34,80.36,3.4,86.23,42,3.3,1,0,1
1,11,83,93.32,81.13,4.1,70.19,51,3.9,11,0,0
4,3,75,68.13,87.9,3.8,89.01,49,4.1,1,0,0
1,11,68,92.04,88.28,4.5,80.96,46,4.4,7,0,0
0,1,92,65.2,75.5,5.0,80.45,40,3.9,11,0,0
3,4,63,78.95,91.14,3.7,73.44,37,4.8,27,0,0
0,1,71,74.74,80.35,3.5,88.23,50,3.6,15,0,0
2,5,73,73.18,89.9,4.1,72.95,44,4.8,29,0,0
0,8,51,74.04,99.8,4.2,97.62,51,3.3,4,0,0
0,2,55,93.54,88.23,3.5,99.42,46,4.0,29,0,0
3,10,78,69.65,87.05,5.0,91.61,55,4.4,0,0,0
3,12,91,74.67,85.89,3.9,85.09,44,3.1,12,0,0
2,14,65,85.0,88.92,4.8,87.21,49,4.9,22,0,0
3,12,84,67.1,88.16,4.1,99.78,53,3.9,10,0,0
0,2,50,65.51,87.82,4.1,91.92,47,3.9,30,0,0
2,5,82,89.43,79.28,3.5,97.09,48,4.7,24,0,0
1,11,86,82.41,84.18,3.6,79.3,54,4.7,25,1,0
4,0,56,70.83,94.1,4.0,77.28,38,3.9,10,0,0
4,0,54,76.25,85.49,4.5,73.8,41,4.7,11,0,0
4,13,57,81.58,88.7,4.5,79.96,39,3.1,4,0,0
3,4,63,85.6,95.02,3.6,70.35,51,4.6,23,0,0
2,6,83,73.57,77.48,3.2,98.17,40,3.4,1,0,0
0,2,71,60.77,89.64,4.6,81.76,50,4.6,2,0,0
1,11,99,92.57,94.51,3.1,92.58,43,3.3,19,0,0
4,0,70,70.55,79.79,3.0,80.32,38,3.9,6,0,0
0,1,97,65.8,81.14,3.2,89.53,37,3.7,7,0,0
0,1,76,93.87,96.31,4.0,85.25,52,4.1,17,0,0
2,14,65,91.71,89.43,3.3,94.97,55,3.6,29,0,0
0,2,66,83.85,98.12,3.7,87.71,52,4.6,20,0,0
1,11,76,92.25,85.09,3.9,74.68,37,4.1,24,0,0
1,9,80,63.11,79.65,3.7,93.51,45,4.0,14,0,0
4,0,98,89.42,78.41,3.9,85.92,43,3.9,20,0,0
0,8,91,76.32,81.6,3.7,75.44,48,4.8,9,1,0
1,9,56,79.24,94.97,3.3,76.96,50,3.9,14,0,0
3,12,54,70.07,76.46,4.0,86.87,55,4.4,2,0,1
0,8,78,78.14,89.61,3.8,92.15,38,5.0,12,0,0
4,13,96,94.91,90.15,4.6,87.44,49,3.8,5,0,0
0,8,61,60.75,94.63,4.1,88.87,53,4.2,0,0,0
1,7,94,74.95,76.84,4.9,92.49,53,4.3,5,1,0
3,4,57,63.4,94.47,4.7,81.71,38,4.9,8,0,0
0,2,86,79.6,80.9,3.8,99.3,37,3.8,29,0,0
3,12,64,88.81,88.89,4.4,83.84,40,4.0,4,0,0
3,10,77,90.91,98.66,3.3,97.73,36,4.3,11,0,0
1,7,97,64.46,85.52,4.3,71.54,42,3.2,7,0,0
1,7,64,86.07,91.49,3.2,93.44,48,4.3,4,0,0
2,6,69,60.46,81.82,4.1,86.21,39,4.2,6,0,1
1,7,63,77.05,83.2,3.1,84.35,40,3.5,29,0,1
4,0,67,64.12,86.05,4.1,97.89,35,3.4,28,0,0
0,8,82,76.02,84.14,4.0,72.52,51,3.3,20,0,0
4,0,64,89.89,99.14,4.2,96.67,53,3.3,5,0,0
2,14,61,74.64,92.57,4.7,91.25,47,3.4,16,0,0
0,1,77,71.56,96.89,4.2,83.15,47,4.6,1,0,0
3,10,98,88.93,80.74,4.4,95.3,42,3.5,1,0,0
1,9,65,66.61,91.25,4.1,80.21,51,3.5,2,0,0
4,13,59,64.86,90.94,4.5,86.66,48,3.1,22,0,0
4,0,65,93.32,95.84,3.6,71.59,42,4.9,18,0,0
2,14,63,87.43,76.25,4.2,76.62,42,3.4,3,0,1
1,11,84,63.64,99.8,4.7,77.24,46,3.8,27,0,0
1,11,81,75.64,89.08,3.3,89.32,53,3.6,4,0,0
0,2,59,85.78,78.67,3.0,84.54,36,4.5,2,0,1
2,14,62,91.4,97.91,4.0,77.08,47,4.9,30,0,0
2,5,65,74.54,90.12,3.6,76.2,41,4.4,23,0,0
2,5,57,60.62,91.67,4.6,81.76,55,4.8,10,0,0
0,2,59,84.19,86.44,3.4,78.89,47,4.3,23,0,0
3,4,97,87.15,86.45,3.4,77.45,50,4.5,3,1,0
4,13,65,68.72,81.09,3.7,82.76,40,4.3,27,0,1
0,2,68,70.76,96.04,4.0,91.74,40,3.3,14,0,0
0,2,64,67.35,84.74,4.4,84.03,47,3.3,17,0,1
3,4,83,62.7,79.01,3.2,73.32,52,3.6,19,0,0
0,2,71,81.42,94.1,3.5,76.04,39,3.8,21,0,0
1,9,85,65.17,82.35,3.6,94.88,52,4.7,22,0,0
4,13,60,91.26,87.84,3.7,87.51,43,3.4,22,0,0
4,0,62,77.35,98.36,3.9,85.81,55,4.3,12,0,0
1,9,81,80.23,89.23,4.2,97.15,45,3.3,0,0,0
1,9,82,60.81,99.13,4.4,76.43,50,3.6,16,0,0
3,12,61,69.62,76.35,3.4,96.77,35,4.0,24,0,1
0,1,75,79.72,96.59,3.2,73.98,45,3.2,30,0,0
4,0,63,85.73,78.63,4.1,84.06,50,3.3,13,0,1
